YouTube Search interest
United States; Jan 2008 - Sep 2014

Interest over time
Week,Law & Government
2012-09-09 - 2012-09-15,-8%
2012-09-16 - 2012-09-22,-10%
2012-09-23 - 2012-09-29,-2%
2012-09-30 - 2012-10-06,+2%
2012-10-07 - 2012-10-13,-3%
2012-10-14 - 2012-10-20,+0%
2012-10-21 - 2012-10-27,-2%
2012-10-28 - 2012-11-03,-7%
2012-11-04 - 2012-11-10,+31%
2012-11-11 - 2012-11-17,-2%
2012-11-18 - 2012-11-24,-12%
2012-11-25 - 2012-12-01,-8%
2012-12-02 - 2012-12-08,-5%
2012-12-09 - 2012-12-15,-3%
2012-12-16 - 2012-12-22,-3%
2012-12-23 - 2012-12-29,-14%
2012-12-30 - 2013-01-05,-12%
2013-01-06 - 2013-01-12,+2%
2013-01-13 - 2013-01-19,+5%
2013-01-20 - 2013-01-26,+24%
2013-01-27 - 2013-02-02,+12%
2013-02-03 - 2013-02-09,+14%
2013-02-10 - 2013-02-16,+15%
2013-02-17 - 2013-02-23,+7%
2013-02-24 - 2013-03-02,+5%
2013-03-03 - 2013-03-09,+3%
2013-03-10 - 2013-03-16,+3%
2013-03-17 - 2013-03-23,+0%
2013-03-24 - 2013-03-30,-2%
2013-03-31 - 2013-04-06,+0%
2013-04-07 - 2013-04-13,+0%
2013-04-14 - 2013-04-20,+0%
2013-04-21 - 2013-04-27,-5%
2013-04-28 - 2013-05-04,-3%
2013-05-05 - 2013-05-11,+17%
2013-05-12 - 2013-05-18,+0%
2013-05-19 - 2013-05-25,-5%
2013-05-26 - 2013-06-01,-8%
2013-06-02 - 2013-06-08,-7%
2013-06-09 - 2013-06-15,-12%
2013-06-16 - 2013-06-22,-10%
2013-06-23 - 2013-06-29,-3%
2013-06-30 - 2013-07-06,+5%
2013-07-07 - 2013-07-13,+0%
2013-07-14 - 2013-07-20,+7%
2013-07-21 - 2013-07-27,-2%
2013-07-28 - 2013-08-03,-7%
2013-08-04 - 2013-08-10,-7%
2013-08-11 - 2013-08-17,-7%
2013-08-18 - 2013-08-24,-3%
2013-08-25 - 2013-08-31,-7%
2013-09-01 - 2013-09-07,-3%
2013-09-08 - 2013-09-14,+2%
2013-09-15 - 2013-09-21,-3%
2013-09-22 - 2013-09-28,-2%
2013-09-29 - 2013-10-05,+8%
2013-10-06 - 2013-10-12,+5%
2013-10-13 - 2013-10-19,+5%
2013-10-20 - 2013-10-26,+2%
2013-10-27 - 2013-11-02,+3%
2013-11-03 - 2013-11-09,+0%
2013-11-10 - 2013-11-16,+5%
2013-11-17 - 2013-11-23,+7%
2013-11-24 - 2013-11-30,-5%
2013-12-01 - 2013-12-07,+0%
2013-12-08 - 2013-12-14,+2%
2013-12-15 - 2013-12-21,-7%
2013-12-22 - 2013-12-28,-10%
