YouTube Search interest
United States; Jan 2008 - Sep 2014

Interest over time
Week,Food & Drink
2012-04-22 - 2012-04-28,+22%
2012-04-29 - 2012-05-05,+22%
2012-05-06 - 2012-05-12,+22%
2012-05-13 - 2012-05-19,+29%
2012-05-20 - 2012-05-26,+22%
2012-05-27 - 2012-06-02,+31%
2012-06-03 - 2012-06-09,+26%
2012-06-10 - 2012-06-16,+28%
2012-06-17 - 2012-06-23,+26%
2012-06-24 - 2012-06-30,+26%
2012-07-01 - 2012-07-07,+26%
2012-07-08 - 2012-07-14,+26%
2012-07-15 - 2012-07-21,+29%
2012-07-22 - 2012-07-28,+33%
2012-07-29 - 2012-08-04,+34%
2012-08-05 - 2012-08-11,+33%
2012-08-12 - 2012-08-18,+31%
2012-08-19 - 2012-08-25,+34%
2012-08-26 - 2012-09-01,+29%
2012-09-02 - 2012-09-08,+28%
2012-09-09 - 2012-09-15,+24%
2012-09-16 - 2012-09-22,+26%
2012-09-23 - 2012-09-29,+26%
2012-09-30 - 2012-10-06,+29%
2012-10-07 - 2012-10-13,+33%
2012-10-14 - 2012-10-20,+43%
2012-10-21 - 2012-10-27,+31%
2012-10-28 - 2012-11-03,+29%
2012-11-04 - 2012-11-10,+34%
2012-11-11 - 2012-11-17,+36%
2012-11-18 - 2012-11-24,+48%
2012-11-25 - 2012-12-01,+31%
2012-12-02 - 2012-12-08,+29%
2012-12-09 - 2012-12-15,+24%
2012-12-16 - 2012-12-22,+28%
2012-12-23 - 2012-12-29,+33%
2012-12-30 - 2013-01-05,+31%
2013-01-06 - 2013-01-12,+33%
2013-01-13 - 2013-01-19,+33%
2013-01-20 - 2013-01-26,+31%
2013-01-27 - 2013-02-02,+33%
2013-02-03 - 2013-02-09,+40%
2013-02-10 - 2013-02-16,+29%
2013-02-17 - 2013-02-23,+28%
2013-02-24 - 2013-03-02,+24%
2013-03-03 - 2013-03-09,+28%
2013-03-10 - 2013-03-16,+29%
2013-03-17 - 2013-03-23,+26%
2013-03-24 - 2013-03-30,+38%
2013-03-31 - 2013-04-06,+38%
2013-04-07 - 2013-04-13,+33%
2013-04-14 - 2013-04-20,+28%
2013-04-21 - 2013-04-27,+33%
2013-04-28 - 2013-05-04,+38%
2013-05-05 - 2013-05-11,+31%
2013-05-12 - 2013-05-18,+36%
2013-05-19 - 2013-05-25,+38%
2013-05-26 - 2013-06-01,+38%
2013-06-02 - 2013-06-08,+43%
2013-06-09 - 2013-06-15,+43%
2013-06-16 - 2013-06-22,+45%
2013-06-23 - 2013-06-29,+55%
2013-06-30 - 2013-07-06,+48%
2013-07-07 - 2013-07-13,+45%
2013-07-14 - 2013-07-20,+43%
2013-07-21 - 2013-07-27,+43%
2013-07-28 - 2013-08-03,+45%
2013-08-04 - 2013-08-10,+52%
2013-08-11 - 2013-08-17,+50%
2013-08-18 - 2013-08-24,+50%
2013-08-25 - 2013-08-31,+34%
2013-09-01 - 2013-09-07,+50%
2013-09-08 - 2013-09-14,+43%
2013-09-15 - 2013-09-21,+43%
2013-09-22 - 2013-09-28,+45%
2013-09-29 - 2013-10-05,+41%
2013-10-06 - 2013-10-12,+52%
2013-10-13 - 2013-10-19,+55%
2013-10-20 - 2013-10-26,+48%
2013-10-27 - 2013-11-02,+50%
2013-11-03 - 2013-11-09,+57%
2013-11-10 - 2013-11-16,+53%
2013-11-17 - 2013-11-23,+53%
2013-11-24 - 2013-11-30,+72%
2013-12-01 - 2013-12-07,+48%
2013-12-08 - 2013-12-14,+48%
2013-12-15 - 2013-12-21,+45%
2013-12-22 - 2013-12-28,+57%
2013-12-29 - 2014-01-04,+62%
2014-01-05 - 2014-01-11,+57%
2014-01-12 - 2014-01-18,+52%
2014-01-19 - 2014-01-25,+55%
2014-01-26 - 2014-02-01,+57%
2014-02-02 - 2014-02-08,+59%
2014-02-09 - 2014-02-15,+53%
2014-02-16 - 2014-02-22,+52%
2014-02-23 - 2014-03-01,+52%
2014-03-02 - 2014-03-08,+52%
2014-03-09 - 2014-03-15,+57%
2014-03-16 - 2014-03-22,+52%
2014-03-23 - 2014-03-29,+55%
2014-03-30 - 2014-04-05,+52%
2014-04-06 - 2014-04-12,+45%
2014-04-13 - 2014-04-19,+52%
2014-04-20 - 2014-04-26,+52%
2014-04-27 - 2014-05-03,+50%
2014-05-04 - 2014-05-10,+48%
2014-05-11 - 2014-05-17,+59%
2014-05-18 - 2014-05-24,+50%
2014-05-25 - 2014-05-31,+53%
2014-06-01 - 2014-06-07,+52%
