News Search interest
United States; Jan 2008 - Sep 2014

Interest over time
Week,News
2012-01-01 - 2012-01-07,-61%
2012-01-08 - 2012-01-14,-61%
2012-01-15 - 2012-01-21,-61%
2012-01-22 - 2012-01-28,-59%
2012-01-29 - 2012-02-04,-65%
2012-02-05 - 2012-02-11,-67%
2012-02-12 - 2012-02-18,-69%
2012-02-19 - 2012-02-25,-67%
2012-02-26 - 2012-03-03,-65%
2012-03-04 - 2012-03-10,-65%
2012-03-11 - 2012-03-17,-69%
2012-03-18 - 2012-03-24,-69%
2012-03-25 - 2012-03-31,-71%
2012-04-01 - 2012-04-07,-71%
2012-04-08 - 2012-04-14,-67%
2012-04-15 - 2012-04-21,-69%
2012-04-22 - 2012-04-28,-69%
2012-04-29 - 2012-05-05,-69%
2012-05-06 - 2012-05-12,-67%
2012-05-13 - 2012-05-19,-71%
2012-05-20 - 2012-05-26,-71%
2012-05-27 - 2012-06-02,-71%
2012-06-03 - 2012-06-09,-69%
2012-06-10 - 2012-06-16,-71%
2012-06-17 - 2012-06-23,-71%
2012-06-24 - 2012-06-30,-67%
2012-07-01 - 2012-07-07,-69%
2012-07-08 - 2012-07-14,-69%
2012-07-15 - 2012-07-21,-65%
2012-07-22 - 2012-07-28,-67%
2012-07-29 - 2012-08-04,-71%
2012-08-05 - 2012-08-11,-71%
2012-08-12 - 2012-08-18,-67%
2012-08-19 - 2012-08-25,-67%
2012-08-26 - 2012-09-01,-61%
2012-09-02 - 2012-09-08,-61%
2012-09-09 - 2012-09-15,-67%
2012-09-16 - 2012-09-22,-65%
2012-09-23 - 2012-09-29,-71%
2012-09-30 - 2012-10-06,-59%
2012-10-07 - 2012-10-13,-61%
2012-10-14 - 2012-10-20,-61%
2012-10-21 - 2012-10-27,-49%
2012-10-28 - 2012-11-03,-49%
2012-11-04 - 2012-11-10,-6%
2012-11-11 - 2012-11-17,-61%
2012-11-18 - 2012-11-24,-69%
2012-11-25 - 2012-12-01,-71%
2012-12-02 - 2012-12-08,-69%
2012-12-09 - 2012-12-15,-67%
2012-12-16 - 2012-12-22,-67%
2012-12-23 - 2012-12-29,-65%
2012-12-30 - 2013-01-05,-71%
2013-01-06 - 2013-01-12,-76%
2013-01-13 - 2013-01-19,-71%
2013-01-20 - 2013-01-26,-71%
2013-01-27 - 2013-02-02,-73%
2013-02-03 - 2013-02-09,-73%
2013-02-10 - 2013-02-16,-71%
2013-02-17 - 2013-02-23,-73%
2013-02-24 - 2013-03-02,-71%
2013-03-03 - 2013-03-09,-67%
2013-03-10 - 2013-03-16,-73%
2013-03-17 - 2013-03-23,-76%
2013-03-24 - 2013-03-30,-76%
2013-03-31 - 2013-04-06,-76%
2013-04-07 - 2013-04-13,-73%
2013-04-14 - 2013-04-20,-67%
2013-04-21 - 2013-04-27,-71%
2013-04-28 - 2013-05-04,-73%
2013-05-05 - 2013-05-11,-73%
2013-05-12 - 2013-05-18,-73%
2013-05-19 - 2013-05-25,-73%
2013-05-26 - 2013-06-01,-71%
2013-06-02 - 2013-06-08,-73%
2013-06-09 - 2013-06-15,-73%
2013-06-16 - 2013-06-22,-67%
2013-06-23 - 2013-06-29,-76%
2013-06-30 - 2013-07-06,-78%
2013-07-07 - 2013-07-13,-76%
2013-07-14 - 2013-07-20,-71%
2013-07-21 - 2013-07-27,-69%
2013-07-28 - 2013-08-03,-71%
2013-08-04 - 2013-08-10,-76%
2013-08-11 - 2013-08-17,-78%
2013-08-18 - 2013-08-24,-73%
2013-08-25 - 2013-08-31,-71%
2013-09-01 - 2013-09-07,-76%
2013-09-08 - 2013-09-14,-73%
2013-09-15 - 2013-09-21,-73%
2013-09-22 - 2013-09-28,-73%
2013-09-29 - 2013-10-05,-65%
2013-10-06 - 2013-10-12,-65%
2013-10-13 - 2013-10-19,-67%
2013-10-20 - 2013-10-26,-73%
2013-10-27 - 2013-11-02,-73%
2013-11-03 - 2013-11-09,-71%
2013-11-10 - 2013-11-16,-76%
2013-11-17 - 2013-11-23,-76%
2013-11-24 - 2013-11-30,-76%
2013-12-01 - 2013-12-07,-57%
2013-12-08 - 2013-12-14,-69%
2013-12-15 - 2013-12-21,-73%
2013-12-22 - 2013-12-28,-76%
2013-12-29 - 2014-01-04,-71%
2014-01-05 - 2014-01-11,-71%
2014-01-12 - 2014-01-18,-76%
2014-01-19 - 2014-01-25,-73%
2014-01-26 - 2014-02-01,-71%
2014-02-02 - 2014-02-08,-63%
2014-02-09 - 2014-02-15,-67%
2014-02-16 - 2014-02-22,-71%
2014-02-23 - 2014-03-01,-69%
2014-03-02 - 2014-03-08,-67%
2014-03-09 - 2014-03-15,-73%
2014-03-16 - 2014-03-22,-76%
2014-03-23 - 2014-03-29,-73%
2014-03-30 - 2014-04-05,-71%
2014-04-06 - 2014-04-12,-73%
2014-04-13 - 2014-04-19,-73%
2014-04-20 - 2014-04-26,-73%
2014-04-27 - 2014-05-03,-71%
2014-05-04 - 2014-05-10,-69%
2014-05-11 - 2014-05-17,-69%
2014-05-18 - 2014-05-24,-69%
2014-05-25 - 2014-05-31,-69%
2014-06-01 - 2014-06-07,-71%
2014-06-08 - 2014-06-14,-73%
2014-06-15 - 2014-06-21,-73%
2014-06-22 - 2014-06-28,-71%
2014-06-29 - 2014-07-05,-73%
2014-07-06 - 2014-07-12,-76%
2014-07-13 - 2014-07-19,-73%
2014-07-20 - 2014-07-26,-73%
2014-07-27 - 2014-08-02,-71%
2014-08-03 - 2014-08-09,-73%
2014-08-10 - 2014-08-16,-73%
2014-08-17 - 2014-08-23,-73%
2014-08-24 - 2014-08-30,-73%
2014-08-31 - 2014-09-06,-71%
2014-09-07 - 2014-09-13,-73%
2014-09-14 - 2014-09-20,-76%
2014-09-21 - 2014-09-27, 
2014-09-28 - 2014-10-04, 



Top searches
news,100
weather,55
obama,35
palin,25
election,20
romney,20
miley cyrus,20
kardashian,20
cnn,15
robert pattinson,15
kim kardashian,15
polls,15
ron paul,15
sarah palin,10
fox news,10
mitt romney,10
mccain,10
lohan,10
kate middleton,10
lindsay lohan,10



Rising searches
palin,Breakout
robert pattinson,Breakout
sarah palin,Breakout
obama,+550%
kardashian,+400%
kim kardashian,+300%
election,+120%
fox news,+120%
cnn,+100%
miley cyrus,+100%



