News Search interest
United States; Jan 2008 - Sep 2014

Interest over time
Week,People & Society
2012-06-03 - 2012-06-09,+70%
2012-06-10 - 2012-06-16,+59%
2012-06-17 - 2012-06-23,+57%
2012-06-24 - 2012-06-30,+49%
2012-07-01 - 2012-07-07,+49%
2012-07-08 - 2012-07-14,+49%
2012-07-15 - 2012-07-21,+43%
2012-07-22 - 2012-07-28,+41%
2012-07-29 - 2012-08-04,+35%
2012-08-05 - 2012-08-11,+30%
2012-08-12 - 2012-08-18,+38%
2012-08-19 - 2012-08-25,+46%
2012-08-26 - 2012-09-01,+38%
2012-09-02 - 2012-09-08,+46%
2012-09-09 - 2012-09-15,+51%
2012-09-16 - 2012-09-22,+51%
2012-09-23 - 2012-09-29,+46%
2012-09-30 - 2012-10-06,+43%
2012-10-07 - 2012-10-13,+46%
2012-10-14 - 2012-10-20,+38%
2012-10-21 - 2012-10-27,+43%
2012-10-28 - 2012-11-03,+11%
2012-11-04 - 2012-11-10,+54%
2012-11-11 - 2012-11-17,+51%
2012-11-18 - 2012-11-24,+32%
2012-11-25 - 2012-12-01,+43%
2012-12-02 - 2012-12-08,+46%
2012-12-09 - 2012-12-15,+38%
2012-12-16 - 2012-12-22,+62%
2012-12-23 - 2012-12-29,+46%
2012-12-30 - 2013-01-05,+41%
2013-01-06 - 2013-01-12,+27%
2013-01-13 - 2013-01-19,+35%
2013-01-20 - 2013-01-26,+38%
2013-01-27 - 2013-02-02,+54%
2013-02-03 - 2013-02-09,+43%
2013-02-10 - 2013-02-16,+57%
2013-02-17 - 2013-02-23,+57%
2013-02-24 - 2013-03-02,+62%
2013-03-03 - 2013-03-09,+59%
2013-03-10 - 2013-03-16,+97%
2013-03-17 - 2013-03-23,+54%
2013-03-24 - 2013-03-30,+76%
2013-03-31 - 2013-04-06,+51%
2013-04-07 - 2013-04-13,+54%
2013-04-14 - 2013-04-20,+24%
2013-04-21 - 2013-04-27,+35%
2013-04-28 - 2013-05-04,+41%
2013-05-05 - 2013-05-11,+35%
2013-05-12 - 2013-05-18,+35%
2013-05-19 - 2013-05-25,+24%
2013-05-26 - 2013-06-01,+24%
2013-06-02 - 2013-06-08,+27%
2013-06-09 - 2013-06-15,+35%
2013-06-16 - 2013-06-22,+54%
2013-06-23 - 2013-06-29,+97%
2013-06-30 - 2013-07-06,+105%
2013-07-07 - 2013-07-13,+86%
2013-07-14 - 2013-07-20,+92%
2013-07-21 - 2013-07-27,+57%
2013-07-28 - 2013-08-03,+41%
2013-08-04 - 2013-08-10,+22%
2013-08-11 - 2013-08-17,+43%
2013-08-18 - 2013-08-24,+35%
2013-08-25 - 2013-08-31,+32%
2013-09-01 - 2013-09-07,+35%
2013-09-08 - 2013-09-14,+32%
2013-09-15 - 2013-09-21,+24%
2013-09-22 - 2013-09-28,+30%
2013-09-29 - 2013-10-05,+24%
2013-10-06 - 2013-10-12,+27%
2013-10-13 - 2013-10-19,+32%
2013-10-20 - 2013-10-26,+38%
2013-10-27 - 2013-11-02,+38%
2013-11-03 - 2013-11-09,+49%
2013-11-10 - 2013-11-16,+32%
2013-11-17 - 2013-11-23,+38%
2013-11-24 - 2013-11-30,+24%
2013-12-01 - 2013-12-07,+38%
2013-12-08 - 2013-12-14,+57%
2013-12-15 - 2013-12-21,+41%
2013-12-22 - 2013-12-28,+41%
2013-12-29 - 2014-01-04,+24%
2014-01-05 - 2014-01-11,+38%
2014-01-12 - 2014-01-18,+27%
2014-01-19 - 2014-01-25,+32%
2014-01-26 - 2014-02-01,+32%
2014-02-02 - 2014-02-08,+27%
2014-02-09 - 2014-02-15,+35%
2014-02-16 - 2014-02-22,+35%
2014-02-23 - 2014-03-01,+49%
2014-03-02 - 2014-03-08,+27%
2014-03-09 - 2014-03-15,+16%
2014-03-16 - 2014-03-22,+16%
2014-03-23 - 2014-03-29,+35%
2014-03-30 - 2014-04-05,+32%
2014-04-06 - 2014-04-12,+38%
2014-04-13 - 2014-04-19,+49%
2014-04-20 - 2014-04-26,+46%
2014-04-27 - 2014-05-03,+41%
2014-05-04 - 2014-05-10,+46%
2014-05-11 - 2014-05-17,+43%
